year,quarter,name,inventory,vacant,vacancy_rate,net_absorption,rental_rate
2016,Q2,Region,21970228,2326738,0.106,475791,6.6
2016,Q3,Region,21970228,1713818,0.078,612920,7.13
2016,Q4,Region,21970228,1619054,0.074,94764,7.32
2017,Q1,Region,21970228,1162751,0.053,456303,7.75
2017,Q2,Region,21970228,1369266,0.062,206515,9.09
2017,Q3,Region,21970228,1662707,0.076,293441,8.51
2017,Q4,Region,21970228,1199199,0.055,463508,8.7
2018,Q1,Region,21970228,1175211,0.053,23988,9.1
2018,Q2,Region,22437436,1889002,0.084,246583,9.55
2018,Q3,Region,22437436,1313955,0.059,575047,9.79
2018,Q4,Region,22437436,1167911,0.052,146044,10.32
2019,Q1,Region,22437436,1556220,0.069,388309,11.11
2019,Q2,Region,22532656,1792642,0.08,141202,10.92
2019,Q3,Region,22532656,1786034,0.079,6608,12.42
2019,Q4,Region,22532656,1758035,0.078,27999,11.25
2020,Q1,Region,22532656,1939588,0.086,181553,11.1
2020,Q2,Region,22532656,2537165,0.113,597577,11.39
2020,Q3,Region,22532656,3139495,0.139,602330,11.41
2020,Q4,Region,22532656,2898110,0.129,241385,12.68
2021,Q1,Region,22532656,3065529,0.136,167419,12.32
2021,Q2,Region,22683656,3288367,0.145,71838,12.62
2021,Q3,Region,22824962,3266355,0.143,163318,13.52
2021,Q4,Region,22976053,3905354,0.17,487908,14.04
2022,Q1,Region,23140666,4218642,0.182,148675,14.44
2022,Q2,Region,24014219,6081569,0.253,989374,15
2022,Q3,Region,24435916,8428785,0.345,1925519,13.78
